Sexo,Comunidades y Ciudades Autónomas,Nacionalidad,Periodo,Total
Ambos sexos,02 Aragón,Extranjera: Unión Europea,2023T1,"57,41"
Ambos sexos,02 Aragón,Extranjera: Unión Europea,2022T4,"63,30"
Ambos sexos,02 Aragón,Extranjera: Unión Europea,2022T3,"64,30"
Ambos sexos,02 Aragón,Extranjera: Unión Europea,2022T2,"68,55"
Ambos sexos,02 Aragón,Extranjera: Unión Europea,2022T1,"62,64"
Ambos sexos,02 Aragón,Extranjera: Unión Europea,2021T4,"68,26"
Ambos sexos,02 Aragón,Extranjera: Unión Europea,2021T3,"73,50"
Ambos sexos,02 Aragón,Extranjera: Unión Europea,2021T2,"65,97"
Ambos sexos,02 Aragón,Extranjera: Unión Europea,2021T1,"62,19"
Ambos sexos,02 Aragón,Extranjera: No pertenecientes a la Unión Europea,2023T4,"55,11"
Ambos sexos,02 Aragón,Extranjera: No pertenecientes a la Unión Europea,2023T3,"53,09"
Ambos sexos,02 Aragón,Extranjera: No pertenecientes a la Unión Europea,2023T2,"55,90"
Ambos sexos,02 Aragón,Extranjera: No pertenecientes a la Unión Europea,2023T1,"56,36"
Ambos sexos,02 Aragón,Extranjera: No pertenecientes a la Unión Europea,2022T4,"52,61"
Ambos sexos,02 Aragón,Extranjera: No pertenecientes a la Unión Europea,2022T3,"53,44"
Ambos sexos,02 Aragón,Extranjera: No pertenecientes a la Unión Europea,2022T2,"59,04"
Ambos sexos,02 Aragón,Extranjera: No pertenecientes a la Unión Europea,2022T1,"58,82"
Ambos sexos,02 Aragón,Extranjera: No pertenecientes a la Unión Europea,2021T4,"59,97"
Ambos sexos,02 Aragón,Extranjera: No pertenecientes a la Unión Europea,2021T3,"62,14"
Ambos sexos,02 Aragón,Extranjera: No pertenecientes a la Unión Europea,2021T2,"68,84"
Ambos sexos,02 Aragón,Extranjera: No pertenecientes a la Unión Europea,2021T1,"57,40"
Ambos sexos,"03 Asturias, Principado de",Total,2023T4,"44,83"
Ambos sexos,"03 Asturias, Principado de",Total,2023T3,"44,91"
Ambos sexos,"03 Asturias, Principado de",Total,2023T2,"45,14"
Ambos sexos,"03 Asturias, Principado de",Total,2023T1,"43,22"
Ambos sexos,"03 Asturias, Principado de",Total,2022T4,"43,19"
Ambos sexos,"03 Asturias, Principado de",Total,2022T3,"43,61"
Ambos sexos,"03 Asturias, Principado de",Total,2022T2,"43,31"
Ambos sexos,"03 Asturias, Principado de",Total,2022T1,"43,89"
Ambos sexos,"03 Asturias, Principado de",Total,2021T4,"45,00"
Ambos sexos,"03 Asturias, Principado de",Total,2021T3,"44,76"
Ambos sexos,"03 Asturias, Principado de",Total,2021T2,"44,11"
Ambos sexos,"03 Asturias, Principado de",Total,2021T1,"43,46"
Ambos sexos,"03 Asturias, Principado de",Española,2023T4,"44,22"
Ambos sexos,"03 Asturias, Principado de",Española,2023T3,"44,53"
Ambos sexos,"03 Asturias, Principado de",Española,2023T2,"44,90"
Ambos sexos,"03 Asturias, Principado de",Española,2023T1,"43,07"
Ambos sexos,"03 Asturias, Principado de",Española,2022T4,"43,20"
Ambos sexos,"03 Asturias, Principado de",Española,2022T3,"43,21"
Ambos sexos,"03 Asturias, Principado de",Española,2022T2,"43,34"
Ambos sexos,"03 Asturias, Principado de",Española,2022T1,"43,79"
Ambos sexos,"03 Asturias, Principado de",Española,2021T4,"44,51"
Ambos sexos,"03 Asturias, Principado de",Española,2021T3,"44,49"
Ambos sexos,"03 Asturias, Principado de",Española,2021T2,"44,09"
Ambos sexos,"03 Asturias, Principado de",Española,2021T1,"43,31"
Ambos sexos,"03 Asturias, Principado de",Extranjera: Total,2023T4,"54,48"
Ambos sexos,"03 Asturias, Principado de",Extranjera: Total,2023T3,"51,08"
Ambos sexos,"03 Asturias, Principado de",Extranjera: Total,2023T2,"49,15"
Ambos sexos,"03 Asturias, Principado de",Extranjera: Total,2023T1,"45,83"
Ambos sexos,"03 Asturias, Principado de",Extranjera: Total,2022T4,"43,01"
Ambos sexos,"03 Asturias, Principado de",Extranjera: Total,2022T3,"51,05"
Ambos sexos,"03 Asturias, Principado de",Extranjera: Total,2022T2,"42,70"
Ambos sexos,"03 Asturias, Principado de",Extranjera: Total,2022T1,"45,97"
Ambos sexos,"03 Asturias, Principado de",Extranjera: Total,2021T4,"55,10"
Ambos sexos,"03 Asturias, Principado de",Extranjera: Total,2021T3,"50,30"
Ambos sexos,"03 Asturias, Principado de",Extranjera: Total,2021T2,"44,60"
Ambos sexos,"03 Asturias, Principado de",Extranjera: Total,2021T1,"46,68"
Ambos sexos,"03 Asturias, Principado de",Extranjera: Unión Europea,2023T4,"79,99"
Ambos sexos,"03 Asturias, Principado de",Extranjera: Unión Europea,2023T3,"42,74"
Ambos sexos,"03 Asturias, Principado de",Extranjera: Unión Europea,2023T2,"55,37"
Ambos sexos,"03 Asturias, Principado de",Extranjera: Unión Europea,2023T1,"48,35"
Ambos sexos,"03 Asturias, Principado de",Extranjera: Unión Europea,2022T4,"50,89"
Ambos sexos,"03 Asturias, Principado de",Extranjera: Unión Europea,2022T3,"55,35"
Ambos sexos,"03 Asturias, Principado de",Extranjera: Unión Europea,2022T2,"36,56"
Ambos sexos,"03 Asturias, Principado de",Extranjera: Unión Europea,2022T1,"41,60"
Ambos sexos,"03 Asturias, Principado de",Extranjera: Unión Europea,2021T4,"44,85"
Ambos sexos,"03 Asturias, Principado de",Extranjera: Unión Europea,2021T3,"39,36"
